anime_id,name,genre,type,episodes,rating,members,japanese_title,aired,image_url
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,"Oct 3, 2008 to Mar 27, 2009",https://cdn.myanimelist.net/images/anime/1299/110774.jpg
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733,聲の形,"Sep 17, 2016",https://cdn.myanimelist.net/images/anime/1122/96435.jpg
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,銀魂,"Apr 4, 2006 to Mar 25, 2010",https://cdn.myanimelist.net/images/anime/10/73274.jpg
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,コードギアス 反逆のルルーシュ 続編,"Apr 6, 2008 to Sep 28, 2008",https://cdn.myanimelist.net/images/anime/4/9391.jpg
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,ハイキュー!! セカンドシーズン,"Oct 4, 2015 to Mar 27, 2016",https://cdn.myanimelist.net/images/anime/9/76662.jpg
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,千と千尋の神隠し,"Jul 20, 2001",https://cdn.myanimelist.net/images/anime/6/79597.jpg
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,四月は君の嘘,"Oct 10, 2014 to Mar 20, 2015",https://cdn.myanimelist.net/images/anime/3/67177.jpg
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,蟲師 続章,"Oct 19, 2014 to Dec 21, 2014",https://cdn.myanimelist.net/images/anime/9/68095.jpg
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,おおかみこどもの雨と雪,"Jul 21, 2012",https://cdn.myanimelist.net/images/anime/9/35721.jpg
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,コードギアス 反逆のルルーシュ,"Oct 6, 2006 to Jul 29, 2007",https://cdn.myanimelist.net/images/anime/5/50331.jpg
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670,はじめの一歩 THE FIGHTING!,"Oct 4, 2000 to Mar 27, 2002",https://cdn.myanimelist.net/images/anime/4/86334.jpg
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,るろうに剣心―明治剣客浪漫譚―追憶編,"Feb 20, 1999 to Sep 22, 1999",https://cdn.myanimelist.net/images/anime/1807/102419.jpg
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,カウボーイビバップ,"Apr 3, 1998 to Apr 24, 1999",https://cdn.myanimelist.net/images/anime/4/19644.jpg
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,ワンパンマン,"Oct 5, 2015 to Dec 21, 2015",https://cdn.myanimelist.net/images/anime/12/76049.jpg
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,もののけ姫,"Jul 12, 1997",https://cdn.myanimelist.net/images/anime/7/75919.jpg
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,涼宮ハルヒの消失,"Feb 6, 2010",https://cdn.myanimelist.net/images/anime/1248/112352.jpg
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959,〈物語〉シリーズ セカンドシーズン,"Jul 7, 2013 to Dec 29, 2013",https://cdn.myanimelist.net/images/anime/3/52133.jpg
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351,蟲師 続章,"Apr 5, 2014 to Jun 21, 2014",https://cdn.myanimelist.net/images/anime/13/58533.jpg
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,蟲師,"Oct 23, 2005 to Jun 19, 2006",https://cdn.myanimelist.net/images/anime/2/73862.jpg
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,天元突破グレンラガン,"Apr 1, 2007 to Sep 30, 2007",https://cdn.myanimelist.net/images/anime/4/5123.jpg
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,グレート・ティーチャー・オニヅカ,"Jun 30, 1999 to Sep 17, 2000",https://cdn.myanimelist.net/images/anime/13/11460.jpg
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865,夏目友人帳 伍,"Oct 5, 2016 to Dec 21, 2016",https://cdn.myanimelist.net/images/anime/11/81755.jpg
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995,はじめの一歩 新シリーズ,"Jan 7, 2009 to Jul 1, 2009",https://cdn.myanimelist.net/images/anime/8/56617.jpg
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266,蟲師 続章: 鈴の雫,"May 16, 2015",https://cdn.myanimelist.net/images/anime/9/72689.jpg
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431,夏目友人帳 肆,"Jan 3, 2012 to Mar 27, 2012",https://cdn.myanimelist.net/images/anime/3/37449.jpg
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,ハウルの動く城,"Nov 20, 2004",https://cdn.myanimelist.net/images/anime/5/75810.jpg
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,フェイト/ゼロ 2ndシーズン,"Apr 8, 2012 to Jun 24, 2012",https://cdn.myanimelist.net/images/anime/8/41125.jpg
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347,傷物語〈Ⅱ熱血篇〉,"Aug 19, 2016",https://cdn.myanimelist.net/images/anime/8/80930.jpg
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,モンスター,"Apr 7, 2004 to Sep 28, 2005",https://cdn.myanimelist.net/images/anime/10/18793.jpg
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620,バクマン。,"Oct 6, 2012 to Mar 30, 2013",https://cdn.myanimelist.net/images/anime/6/41845.jpg
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,デスノート,"Oct 4, 2006 to Jun 27, 2007",https://cdn.myanimelist.net/images/anime/9/9453.jpg
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,8.69,16947,銀魂　愛染香篇,"Aug 4, 2016 to Nov 4, 2016",https://cdn.myanimelist.net/images/anime/8/79704.jpg
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475,暗殺教室　第２期,"Jan 8, 2016 to Jul 1, 2016",https://cdn.myanimelist.net/images/anime/8/77966.jpg
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,ハイキュー!!,"Apr 6, 2014 to Sep 21, 2014",https://cdn.myanimelist.net/images/anime/7/76014.jpg
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756,はじめの一歩 Rising,"Oct 6, 2013 to Mar 29, 2014",https://cdn.myanimelist.net/images/anime/6/56147.jpg
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074,劇場版 空の境界 the Garden of sinners 第五章『矛盾螺旋』,"Aug 16, 2008",https://cdn.myanimelist.net/images/anime/8/9246.jpg
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322,夏目友人帳 参,"Jul 5, 2011 to Sep 27, 2011",https://cdn.myanimelist.net/images/anime/8/82394.jpg
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,97187,ピンポン THE ANIMATION,"Apr 11, 2014 to Jun 20, 2014",https://cdn.myanimelist.net/images/anime/10/58041.jpg
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036,蟲師 特別篇「日蝕む翳」,"Jan 4, 2014",https://cdn.myanimelist.net/images/anime/10/59315.jpg
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,僕だけがいない街,"Jan 8, 2016 to Mar 25, 2016",https://cdn.myanimelist.net/images/anime/10/77957.jpg
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531,四畳半神話大系,"Apr 23, 2010 to Jul 2, 2010",https://cdn.myanimelist.net/images/anime/10/50457.jpg
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162,ARIA The ORIGINATION,"Jan 8, 2008 to Apr 1, 2008",https://cdn.myanimelist.net/images/anime/6/77623.jpg
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,神様はじめました～過去編～,"Aug 20, 2015 to Aug 19, 2016",https://cdn.myanimelist.net/images/anime/3/81250.jpg
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474,RAINBOW 二舎六房の七人,"Apr 7, 2010 to Sep 29, 2010",https://cdn.myanimelist.net/images/anime/9/72697.jpg
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,Re：ゼロから始める異世界生活,"Apr 4, 2016 to Sep 19, 2016",https://cdn.myanimelist.net/images/anime/11/79410.jpg
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253,天元突破グレンラガン 螺巌篇,"Apr 22, 2009",https://cdn.myanimelist.net/images/anime/12/19698.jpg
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,続 夏目友人帳,"Jan 6, 2009 to Mar 31, 2009",https://cdn.myanimelist.net/images/anime/4/79738.jpg
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,あの日見た花の名前を僕達はまだ知らない。,"Apr 15, 2011 to Jun 24, 2011",https://cdn.myanimelist.net/images/anime/5/79697.jpg
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525,黒子のバスケ,"Jan 11, 2015 to Jun 30, 2015",https://cdn.myanimelist.net/images/anime/4/68299.jpg
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424,劇場版 シュタインズゲート 負荷領域のデジャヴ,"Apr 20, 2013",https://cdn.myanimelist.net/images/anime/3/50317.jpg
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,蛍火の杜へ,"Sep 17, 2011",https://cdn.myanimelist.net/images/anime/1599/112267.jpg
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951,食戟のソーマ,"Apr 4, 2015 to Sep 26, 2015",https://cdn.myanimelist.net/images/anime/3/72943.jpg
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,103178,ユーリ!!! on ICE,"Oct 6, 2016 to Dec 22, 2016",https://cdn.myanimelist.net/images/anime/6/81149.jpg
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104,銀魂 よりぬき銀魂さんオンシアター2D,"Aug 26, 2012",https://cdn.myanimelist.net/images/anime/1172/90571.jpg
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657,ジョジョの奇妙な冒険 スターダストクルセイダース,"Jan 10, 2015 to Jun 20, 2015",https://cdn.myanimelist.net/images/anime/11/75045.jpg
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185,劇場版 銀魂 新訳紅桜篇,"Apr 24, 2010",https://cdn.myanimelist.net/images/anime/4/28803.jpg
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,HELLSING OVA,"Feb 10, 2006 to Dec 26, 2012",https://cdn.myanimelist.net/images/anime/6/7333.jpg
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,寄生獣 セイの格率,"Oct 9, 2014 to Mar 26, 2015",https://cdn.myanimelist.net/images/anime/3/73178.jpg
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295,昭和元禄落語心中,"Jan 9, 2016 to Apr 2, 2016",https://cdn.myanimelist.net/images/anime/2/77907.jpg
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958,宇宙兄弟,"Apr 1, 2012 to Mar 22, 2014",https://cdn.myanimelist.net/images/anime/7/37573.jpg
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,8.58,80825,バケモノの子,"Jul 11, 2015",https://cdn.myanimelist.net/images/anime/11/73540.jpg
578,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,174878,火垂るの墓,"Apr 16, 1988",https://cdn.myanimelist.net/images/anime/7/75808.jpg
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,黒子のバスケ,"Oct 6, 2013 to Mar 30, 2014",https://cdn.myanimelist.net/images/anime/9/56155.jpg
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653,メジャー,"Jan 10, 2009 to Jun 27, 2009",https://cdn.myanimelist.net/images/anime/9/75218.jpg
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862,ONE PIECE,"Oct 20, 1999 to ?",https://cdn.myanimelist.net/images/anime/6/73245.jpg
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993,攻殻機動隊 S.A.C. 2nd GIG,"Jan 1, 2004 to Jan 8, 2005",https://cdn.myanimelist.net/images/anime/11/51465.jpg
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,"Apr 2, 2016 to Dec 24, 2016",https://cdn.myanimelist.net/images/anime/3/79156.jpg
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658,劇場版 空の境界 the Garden of sinners 第七章『殺人考察（後）』,"Aug 8, 2009",https://cdn.myanimelist.net/images/anime/9/56619.jpg
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234,キングダム 第2シリーズ,"Jun 8, 2013 to Mar 2, 2014",https://cdn.myanimelist.net/images/anime/13/53589.jpg
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570,スラムダンク,"Oct 16, 1993 to Mar 23, 1996",https://cdn.myanimelist.net/images/anime/12/86890.jpg
10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855,うさぎドロップ,"Jul 8, 2011 to Sep 16, 2011",https://cdn.myanimelist.net/images/anime/2/29665.jpg
18617,Girls und Panzer der Film,"Military, School",Movie,1,8.55,25641,ガールズ&パンツァー 劇場版,"Nov 21, 2015",https://cdn.myanimelist.net/images/anime/1776/91467.jpg
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,モブサイコ100,"Jul 11, 2016 to Sep 27, 2016",https://cdn.myanimelist.net/images/anime/8/80356.jpg
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,NANA [ナナ],"Apr 5, 2006 to Mar 28, 2007",https://cdn.myanimelist.net/images/anime/2/11232.jpg
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,バッカーノ！,"Jul 27, 2007 to Nov 2, 2007",https://cdn.myanimelist.net/images/anime/3/14547.jpg
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011,蟲師 続章,"Aug 20, 2014",https://cdn.myanimelist.net/images/anime/8/63539.jpg
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,進撃の巨人,"Apr 7, 2013 to Sep 29, 2013",https://cdn.myanimelist.net/images/anime/10/47347.jpg
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561,バクマン。2ndシーズン,"Oct 1, 2011 to Mar 24, 2012",https://cdn.myanimelist.net/images/anime/3/34923.jpg
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108,クロスゲーム,"Apr 5, 2009 to Mar 28, 2010",https://cdn.myanimelist.net/images/anime/6/22103.jpg
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864,同級生,"Feb 20, 2016",https://cdn.myanimelist.net/images/anime/3/78606.jpg
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224,ヱヴァンゲリヲン新劇場版:破,"Jul 27, 2009",https://cdn.myanimelist.net/images/anime/5/74983.jpg
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,新世界より,"Sep 29, 2012 to Mar 23, 2013",https://cdn.myanimelist.net/images/anime/12/36775.jpg
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223,宇宙戦艦ヤマト2199,"May 25, 2012 to Oct 25, 2013",https://cdn.myanimelist.net/images/anime/2/36607.jpg
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074,ちはやふる 2,"Jan 12, 2013 to Jun 29, 2013",https://cdn.myanimelist.net/images/anime/6/47435.jpg
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,フェイト/ゼロ,"Oct 2, 2011 to Dec 25, 2011",https://cdn.myanimelist.net/images/anime/2/73249.jpg
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197,ジョジョの奇妙な冒険,"Oct 6, 2012 to Apr 6, 2013",https://cdn.myanimelist.net/images/anime/3/40409.jpg
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,魔法少女まどか★マギカ,"Jan 7, 2011 to Apr 22, 2011",https://cdn.myanimelist.net/images/anime/11/55225.jpg
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,日常,"Apr 3, 2011 to Sep 25, 2011",https://cdn.myanimelist.net/images/anime/3/75617.jpg
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,サイコパス,"Oct 12, 2012 to Mar 22, 2013",https://cdn.myanimelist.net/images/anime/5/43399.jpg
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927,ばらかもん,"Jul 6, 2014 to Sep 28, 2014",https://cdn.myanimelist.net/images/anime/12/65427.jpg
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531,ダイヤのA[エース]～Second Season～,"Apr 6, 2015 to Mar 28, 2016",https://cdn.myanimelist.net/images/anime/9/74398.jpg
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,マギ The kingdom of magic,"Oct 6, 2013 to Mar 30, 2014",https://cdn.myanimelist.net/images/anime/13/55039.jpg
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735,劇場版 魔法少女まどか☆マギカ 叛逆の物語,"Oct 26, 2013",https://cdn.myanimelist.net/images/anime/5/54231.jpg
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405,メジャー ワールドシリーズ編,"Dec 16, 2011 to Jan 18, 2012",https://cdn.myanimelist.net/images/anime/5/75220.jpg
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,サムライチャンプルー,"May 20, 2004 to Mar 19, 2005",https://cdn.myanimelist.net/images/anime/11/29134.jpg
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.5,185015,食戟のソーマ 弍ノ皿,"Jul 2, 2016 to Sep 24, 2016",https://cdn.myanimelist.net/images/anime/8/79353.jpg
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241,刀語,"Jan 26, 2010 to Dec 11, 2010",https://cdn.myanimelist.net/images/anime/2/50023.jpg
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361,劇場版 魔法少女まどか☆マギカ 永遠の物語,"Oct 13, 2012",https://cdn.myanimelist.net/images/anime/6/42265.jpg
7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,24788,メジャー 第6シリーズ,"Apr 3, 2010 to Sep 25, 2010",https://cdn.myanimelist.net/images/anime/2/75216.jpg
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850,モノノ怪,"Jul 13, 2007 to Sep 28, 2007",https://cdn.myanimelist.net/images/anime/3/20713.jpg
25835,Shirobako,"Comedy, Drama",TV,24,8.49,146895,SHIROBAKO,"Oct 9, 2014 to Mar 26, 2015",https://cdn.myanimelist.net/images/anime/1918/93511.jpg
2921,Ashita no Joe 2,"Drama, Sports",TV,47,8.48,6259,あしたのジョー２,"Oct 13, 1980 to Aug 31, 1981",https://cdn.myanimelist.net/images/anime/3/45028.jpg
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255,HUNTER×HUNTER（ハンター×ハンター）,"Oct 16, 1999 to Mar 31, 2001",https://cdn.myanimelist.net/images/anime/8/19473.jpg
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,ノラガミ ARAGOTO,"Oct 3, 2015 to Dec 26, 2015",https://cdn.myanimelist.net/images/anime/1689/94850.jpg
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592,坂道のアポロン,"Apr 13, 2012 to Jun 29, 2012",https://cdn.myanimelist.net/images/anime/12/79781.jpg
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484,となりのトトロ,"Apr 16, 1988",https://cdn.myanimelist.net/images/anime/4/75923.jpg
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491,攻殻機動隊 STAND ALONE COMPLEX,"Oct 1, 2002 to Oct 1, 2003",https://cdn.myanimelist.net/images/anime/11/50857.jpg
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273,風の谷のナウシカ,"Mar 11, 1984",https://cdn.myanimelist.net/images/anime/10/75914.jpg
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,ノーゲーム・ノーライフ,"Apr 9, 2014 to Jun 25, 2014",https://cdn.myanimelist.net/images/anime/1074/111944.jpg
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074,ロミオの青い空,"Jan 15, 1995 to Dec 17, 1995",https://cdn.myanimelist.net/images/anime/4/17979.jpg
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,幽☆遊☆白書,"Oct 10, 1992 to Jan 7, 1995",https://cdn.myanimelist.net/images/anime/1228/111372.jpg
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,102822,キノの旅 -the Beautiful World-,"Apr 8, 2003 to Jul 8, 2003",https://cdn.myanimelist.net/images/anime/1763/95397.jpg
