anime_id,name,genre,type,episodes,rating,members,japanese_title,aired,image_url,aired_from,aired_to,ave_rating_minmax,rating_count_standard
11141,Blue Seagull,"Action, Hentai",Movie,1,4.6,337,블루시걸,"Nov 5, 1994",https://cdn.myanimelist.net/images/anime/3/30811.jpg,783964800,783964800,0.33333334,2
14075,Zetsuen no Tempest,"Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen",TV,24,8.17,259900,絶園のテンペスト,"Oct 5, 2012 to Mar 29, 2013",https://cdn.myanimelist.net/images/anime/7/42453.jpg,1349366400,1364486400,0.8131749,6369
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,幽☆遊☆白書,"Oct 10, 1992 to Jan 7, 1995",https://cdn.myanimelist.net/images/anime/1228/111372.jpg,718646400,789408000,0.8379145,5639
24873,Juuou Mujin no Fafnir,"Fantasy, Harem, Romance, School",TV,12,6.44,59544,銃皇無尽のファフニール,"Jan 9, 2015 to Mar 27, 2015",https://cdn.myanimelist.net/images/anime/11/69085.jpg,1420732800,1427385600,0.6308866,1267
13261,Inazuma Eleven Go: Chrono Stone,"Shounen, Sports, Super Power",TV,51,7.45,11939,イナズマイレブンGO クロノ・ストーン,"Apr 18, 2012 to May 1, 2013",https://cdn.myanimelist.net/images/anime/1619/94705.jpg,1334678400,1367337600,0.7298091,227
25283,Kuusen Madoushi Kouhosei no Kyoukan,"Action, Drama, Fantasy, Magic, School",TV,12,6.57,81870,空戦魔導士候補生の教官,"Jul 9, 2015 to Sep 24, 2015",https://cdn.myanimelist.net/images/anime/6/74541.jpg,1436371200,1443024000,0.6306739,1596
243,Gravitation,"Comedy, Music, Romance, Shoujo, Shounen Ai",TV,13,7.26,67916,グラビテーション,"Oct 4, 2000 to Jan 10, 2001",https://cdn.myanimelist.net/images/anime/4/21856.jpg,970588800,979056000,0.718634,3143
897,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,"Adventure, Fantasy, Sci-Fi, Shounen",Movie,1,6.84,51924,ドラゴンボールZ 超サイヤ人だ孫悟空,"Mar 9, 1991",https://cdn.myanimelist.net/images/anime/1620/93667.jpg,668448000,668448000,0.65599626,2395
6773,Shakugan no Shana III (Final),"Action, Drama, Fantasy, Romance, Supernatural",TV,24,7.73,133010,灼眼のシャナIII –Final–,"Oct 8, 2011 to Mar 24, 2012",https://cdn.myanimelist.net/images/anime/9/32539.jpg,1318003200,1332518400,0.76600033,3802
31680,Super Lovers,"Comedy, Drama, Romance, Shounen Ai, Slice of Life",TV,10,7.54,36781,SUPER LOVERS（スーパーラヴァーズ）,"Apr 6, 2016 to Jun 8, 2016",https://cdn.myanimelist.net/images/anime/4/78450.jpg,1459872000,1465315200,0.7304048,516
16916,Kuroko no Basket: Tip Off,"Comedy, School, Shounen, Sports",Special,1,8.07,41760,黒子のバスケ 第22.5Q 「Tip off」,"Feb 22, 2013",https://cdn.myanimelist.net/images/anime/10/76803.jpg,1361462400,1361462400,0.8002066,1506
19669,Kuroko no Basket: Baka ja Katenai no yo!,"Comedy, School, Shounen, Sports",OVA,1,7.75,26785,黒子のバスケ バカじゃ勝てないのよ!,"Dec 4, 2013",https://cdn.myanimelist.net/images/anime/1148/96321.jpg,1386086400,1386086400,0.7687155,846
12471,Eureka Seven AO,"Action, Adventure, Drama, Mecha, Sci-Fi",TV,24,6.88,56453,エウレカセブンAO,"Apr 13, 2012 to Nov 20, 2012",https://cdn.myanimelist.net/images/anime/11/36313.jpg,1334246400,1353340800,0.68881065,1420
2235,Mizu no Kotoba,"Drama, Psychological, Sci-Fi",Special,1,7.03,15958,水のコトバ,"Oct 26, 2002",https://cdn.myanimelist.net/images/anime/13/76137.jpg,1035561600,1035561600,0.6980711,697
2563,Aria The OVA: Arietta,"Fantasy, Sci-Fi, Shounen, Slice of Life",OVA,1,8.13,20629,ARIA The OVA ~ARIETTA~ (アリア ジ オーブイエー ~アリエッタ~),"Sep 21, 2007",https://cdn.myanimelist.net/images/anime/11/77622.jpg,1190304000,1190304000,0.7990506,632
1127,UFO Princess Valkyrie,"Comedy, Ecchi, Magic, Sci-Fi",TV,12,6.9,11794,円盤皇女ワるきゅーレ,"Jul 4, 2002 to Sep 19, 2002",https://cdn.myanimelist.net/images/anime/4/22373.jpg,1025712000,1032364800,0.6909722,384
33221,Mobile Suit Gundam Thunderbolt: December Sky,"Action, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.92,2833,機動戦士ガンダム サンダーボルト DECEMBER SKY,"Jun 25, 2016",https://cdn.myanimelist.net/images/anime/2/79823.jpg,1466784000,1466784000,0.7615741,48
1025,Kachou Ouji,"Adventure, Comedy, Music, Sci-Fi, Slice of Life",TV,13,7.16,16111,課長王子,"Jul 8, 1999 to Oct 7, 1999",https://cdn.myanimelist.net/images/anime/2/80134.jpg,931363200,939225600,0.70535713,336
34103,Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,"Action, Horror, Mystery, Psychological",Special,1,8.1,29969,ダンガンロンパ３-The End of 希望ヶ峰学園-希望編,"Sep 29, 2016",https://cdn.myanimelist.net/images/anime/1295/91106.jpg,1475078400,1475078400,0.799425,657
28883,Hidan no Aria AA,"Action, School, Shoujo Ai",TV,12,6.4,39538,緋弾のアリアAA（ダブルエー）,"Oct 6, 2015 to Dec 22, 2015",https://cdn.myanimelist.net/images/anime/12/76700.jpg,1444060800,1450713600,0.62098026,501
12367,Shining Hearts: Shiawase no Pan,"Action, Fantasy",TV,12,6.21,27273,シャイニング・ハーツ 〜幸せのパン〜,"Apr 13, 2012 to Jun 30, 2012",https://cdn.myanimelist.net/images/anime/5/38329.jpg,1334246400,1340985600,0.6098765,720
3226,Major S4,"Comedy, Drama, Shounen, Sports",TV,26,8.35,28002,メジャー　（第4シリーズ),"Jan 5, 2008 to Jun 28, 2008",https://cdn.myanimelist.net/images/anime/9/75217.jpg,1199462400,1214582400,0.82295376,1124
2580,Tsukuyomi: Moon Phase Special,"Comedy, Dementia, Slice of Life",Special,1,6.8,8030,"月詠 -MOON PHASE- おにいさま, ゆらゆらきらきらどんぶらこ これって, なーんだ?","Feb 22, 2006",https://cdn.myanimelist.net/images/anime/8/3433.jpg,1140537600,1140537600,0.658543,424
540,Tenchi Muyou! Ryououki 2nd Season,"Action, Comedy, Harem, Sci-Fi, Shounen, Space",OVA,6,7.78,15837,天地無用！魎皇鬼,"Sep 25, 1994 to Sep 25, 1995",https://cdn.myanimelist.net/images/anime/1/2437.jpg,780422400,811958400,0.76680386,729
4158,Dore Dore no Uta,Music,Music,1,6.05,1658,金曜ロードショー オープニング映像,"Nov 16, 2005",https://cdn.myanimelist.net/images/anime/7/81238.jpg,1132070400,1132070400,0.5847953,57
31118,Demon Busters: Ecchi na Ecchi na Demon Taiji The Animation,"Demons, Harem, Hentai, School, Supernatural",OVA,1,6.98,2713,デーモンバスターズ ~えっちなえっちなデーモン退治~ THE ANIMATION,"Sep 25, 2015",https://cdn.myanimelist.net/images/anime/1112/104314.jpg,1443110400,1443110400,0.62222224,35
12611,Sengoku Collection,"Fantasy, Parody, Samurai",TV,26,6.54,16287,戦国コレクション,"Apr 6, 2012 to Sep 28, 2012",https://cdn.myanimelist.net/images/anime/12/35329.jpg,1333641600,1348761600,0.6375,240
1721,Hitohira,"Drama, Romance, School, Slice of Life",TV,12,6.91,14299,ひとひら,"Mar 28, 2007 to Jun 13, 2007",https://cdn.myanimelist.net/images/anime/9/23639.jpg,1175011200,1181664000,0.6754813,479
623,Shichinin no Nana,"Adventure, Comedy, Magic, Romance, School",TV,25,6.91,2915,七人のナナ,"Jan 10, 2002 to Jun 27, 2002",https://cdn.myanimelist.net/images/anime/4/35193.jpg,1010592000,1025107200,0.68480724,49
2811,Soratobu Yuureisen,"Adventure, Drama, Mecha, Sci-Fi",Movie,1,6.85,2634,空飛ぶゆうれい船,"Jul 20, 1969",https://cdn.myanimelist.net/images/anime/10/15656.jpg,-14284800,-14284800,0.6735573,129
1483,Master Keaton,"Adventure, Mystery",TV,24,7.76,9610,マスターキートン,"Oct 6, 1998 to Mar 29, 1999",https://cdn.myanimelist.net/images/anime/10/2817.jpg,907603200,922636800,0.7769029,127
1084,I&#039;&#039;s,"Drama, Romance",OVA,2,6.13,6419,フロムアイズ ～もうひとつの夏の物語～,"Dec 9, 2002 to Mar 19, 2003",https://cdn.myanimelist.net/images/anime/1/1084.jpg,1039363200,1048003200,0.61030596,276
31763,Accel World: Infinite∞Burst,"Action, Game, Romance, School, Sci-Fi",Movie,1,7.03,21916,アクセル・ワールド INFINITE∞BURST（インフィニット・バースト）,"Jul 23, 2016",https://cdn.myanimelist.net/images/anime/5/87145.jpg,1469203200,1469203200,0.7167449,71
4190,Harukanaru Toki no Naka de 3: Kurenai no Tsuki Special,"Comedy, Fantasy, Shoujo",Special,1,7.01,1010,遙かなる時空の中で3 紅の月 龍神温泉罰ゲームの巻,2008,https://cdn.myanimelist.net/images/anime/6/7731.jpg,0,0,0.73777777,25
30988,Futsuu no Joshikousei ga [Locodol] Yattemita. OVA,"Comedy, Seinen",OVA,2,7.12,4122,普通の女子校生が【ろこどる】やってみた。OVA,"Mar 23, 2015 to Jun 22, 2016",https://cdn.myanimelist.net/images/anime/4/78297.jpg,1427040000,1466524800,0.71310115,67
1896,Akiba Kei Kanojo,Hentai,OVA,3,6.83,9395,アキバ系彼女,"Jun 25, 2004 to Jun 25, 2006",https://cdn.myanimelist.net/images/anime/1561/103796.jpg,1088092800,1151164800,0.6596018,346
10703,Detective Conan OVA 11: A Secret Order from London,"Adventure, Comedy, Mystery, Police, Shounen",OVA,1,7.51,5985,名探偵コナン ～ロンドンからの㊙指令 (ロンドンからのマル秘指令),"May 30, 2011",https://cdn.myanimelist.net/images/anime/11/29489.jpg,1306684800,1306684800,0.72712415,204
1395,Future GPX Cyber Formula Sin,"Drama, Sci-Fi, Shounen, Sports",OVA,5,7.72,1070,新世紀ＧＰＸサイバーフォーミュラＳＩＮ,"Dec 21, 1998 to Mar 17, 2000",https://cdn.myanimelist.net/images/anime/6/29342.jpg,914169600,953222400,0.76666665,10
2999,Hi no Tori: Yamato-hen,"Drama, Historical",OVA,1,7.04,1069,火の鳥・ヤマト編,"Aug 1, 1987",https://cdn.myanimelist.net/images/anime/4/4340.jpg,554742000,554742000,0.72401434,31
3475,Muramasa,"Historical, Horror, Martial Arts, Samurai",Movie,1,6.39,2535,村正,"Aug 21, 1987",https://cdn.myanimelist.net/images/anime/2/66111.jpg,556470000,556470000,0.6440972,64
1460,Uchuu no Kishi Tekkaman Blade II,"Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",OVA,6,6.48,2346,宇宙の騎士テッカマンブレード II,"Jul 21, 1994 to Apr 21, 1995",https://cdn.myanimelist.net/images/anime/1521/96191.jpg,774720000,798393600,0.6188889,100
858,Gunparade Orchestra,"Drama, Mecha, Military, Romance, Sci-Fi, Slice of Life",TV,24,6.06,2816,ガンパレード・オーケストラ,"Oct 4, 2005 to Mar 28, 2006",https://cdn.myanimelist.net/images/anime/9/9074.jpg,1128355200,1143475200,0.6136364,44
12715,The Hakkenden: Shin Shou,"Action, Adventure, Demons, Historical, Martial Arts, Samurai, Shounen",OVA,7,6.73,1127,THE八犬伝 新章,"Nov 25, 1993 to Mar 25, 1995",https://cdn.myanimelist.net/images/anime/1592/92509.jpg,754156800,796060800,0.62222224,15
19351,Nijiiro☆Prism Girl,"Comedy, Romance, School, Shoujo",OVA,4,6.38,1390,にじいろ☆プリズムガール,"Aug 3, 2013 to Nov 30, 2013",https://cdn.myanimelist.net/images/anime/8/58531.jpg,1375459200,1385740800,0.6,40
2387,Ai Monogatari: 9 Love Stories,"Drama, Romance",OVA,1,6.82,2060,愛物語 9 Love Stories,"Apr 2, 1993",https://cdn.myanimelist.net/images/anime/5/2646.jpg,733680000,733680000,0.67241377,58
4929,Next Senki Ehrgeiz,"Action, Mecha, Sci-Fi",TV,12,5.84,472,ネクスト戦記エーアガイツ,"Oct 2, 1997 to Dec 25, 1997",https://cdn.myanimelist.net/images/anime/1627/110624.jpg,875721600,882979200,0.5740741,6
5614,Shikkaku Ishi,Hentai,OVA,2,5.95,434,失格医師,"Jan 25, 2003 to Mar 25, 2003",https://cdn.myanimelist.net/images/anime/10/11585.jpg,1043424000,1048521600,0.5416667,8
8928,Visions of Frank: Short Films by Japan&#039;s Most Audacious Animators,Dementia,Movie,9,6.22,267,Visions of Frank: Short Films by Japan's Most Audacious Animators,"Nov 25, 2005",https://cdn.myanimelist.net/images/anime/4/24754.jpg,1132848000,1132848000,0.4814815,3
1990,Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,"Comedy, Fantasy, Magic",Movie,1,6.19,833,魔法学園ルナ!　青い竜の秘密,"Mar 15, 1997",https://cdn.myanimelist.net/images/anime/8/37835.jpg,858355200,858355200,0.5980392,34
4161,Kojin Jugyou,"Comedy, Hentai, Yuri",OVA,2,5.63,739,個人授業,"Sep 27, 1996 to Nov 1, 1996",https://cdn.myanimelist.net/images/anime/11/66911.jpg,843753600,846777600,0.46666667,10
21715,Makkuramori no Uta,Music,Music,1,5.81,117,まっくら森の歌,"Aug 1, 1985",https://cdn.myanimelist.net/images/anime/9/57217.jpg,491673600,491673600,0.22222222,1
24355,Gaia Getter A-kun,"Comedy, Kids, Sci-Fi, Space",ONA,2,3.48,83,ガイアゲッター アークン,"Jun 1, 2002",https://cdn.myanimelist.net/images/anime/9/62891.jpg,1022860800,1022860800,0.22222222,1
9879,Shougakusei no Yuukai Boushi: Yumi-chan Abunai yo!,Kids,OVA,1,4.91,92,小学生の誘拐防止　ユミちゃんあぶないよ,"May 21, 1991",https://cdn.myanimelist.net/images/anime/5/27317.jpg,674751600,674751600,0.33333334,2
